ts_code,symbol,name,market,area,industry,ths_industry,ths_concepts,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,list_date,cr_end_date,current_ratio,fcf_end_date,fcf
301173.SZ,301173,毓恬冠佳,创业板,上海,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|汽车电子|深股通|比亚迪概念|长安汽车概念,19.172,2.1876,331751.9338,116439.845,2.1776,2.1776,20250303,,,,
920026.BJ,920026,卓兆点胶,北交所,江苏,机械基件,工业(A股),融资融券|苹果概念|新能源汽车|特斯拉概念|机器人概念|光伏概念|芯片概念|富士康概念|消费电子概念|专精特新|比亚迪概念|机器视觉|MR(混合现实)|AI眼镜,51.1119,4.1343,264288.7321,199230.9151,2.0322,3.3787,20231019,,,,
301275.SZ,301275,汉朔科技,创业板,浙江,元器件,信息技术(A股),物联网|融资融券|机器人概念|光伏概念|深股通|人工智能|芯片概念|消费电子概念|人民币贬值受益|储能|专精特新|海峡两岸|电子纸|数字经济|云计算,42.7598,4.6468,1931635.2,1375829.2725,3.4513,4.9886,20250311,,,,
301609.SZ,301609,山大电力,创业板,山东,电气设备,工业(A股),智能电网|融资融券|特高压|充电桩|核电|水利|新股与次新股|深股通|注册制次新股|储能|专精特新|柔性直流输电|虚拟电厂,54.3742,5.7737,748433.6,168397.56,9.2556,9.2556,20250723,,,,
920019.BJ,920019,铜冠矿建,北交所,安徽,建筑工程,原材料(A股),融资融券|一带一路|人民币贬值受益|民爆概念|国企改革,95.5416,4.1215,385418.8611,307092.8758,2.6285,7.5579,20241011,,,,
688750.SH,688750,金天钛业,科创板,湖南,小金属,原材料(A股),融资融券|高端装备|沪股通|小金属概念|大飞机|核电|军工|航空发动机|专精特新|国企改革|飞行汽车(eVTOL)|商业航天,141.857,3.3985,840825.0,423445.5167,1.2892,1.8588,20241120,,,,
301449.SZ,301449,天溯计量,创业板,深圳,电器仪表,工业(A股),物联网|融资融券|智能医疗|高端装备|新能源汽车|网络安全|充电桩|机器人概念|粤港澳大湾区|核电|水利|新股与次新股|深股通|锂电池概念|宁德时代概念|注册制次新股|储能|汽车热管理|高压快充,41.1608,3.6851,424565.2219,90575.3291,6.0948,6.0948,20251223,,,,
301687.SZ,301687,新广益,创业板,江苏,化工原料,信息技术(A股),融资融券|苹果概念|新能源汽车|光伏概念|新股与次新股|深股通|锂电池概念|消费电子概念|长三角一体化|注册制次新股|专精特新|海峡两岸|PCB概念|比亚迪概念|POE胶膜,76.5362,6.1527,943601.2,189764.4631,16.131,16.131,20251231,,,,
920706.BJ,920706,铁拓机械,北交所,福建,工程机械,工业(A股),融资融券|互联网金融|一带一路|芯片概念|专精特新|工业母机|海峡两岸|俄乌冲突概念|中俄贸易概念,39.8329,3.2557,191925.6939,99014.474,4.529,7.2853,20240308,,,,
920931.BJ,920931,无锡鼎邦,北交所,江苏,化工机械,工业(A股),融资融券|专精特新,97.0037,2.5858,102195.84,31308.0704,2.8962,2.8962,20240408,,,,
