ts_code,csname,extname,cname,index_code,index_name,list_date,exchange
159113.SZ,大成中证AAA科技创新公司债ETF,科创债ETF大成,大成中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250924,SZ
159115.SZ,华安中证AAA科技创新公司债ETF,科创债ETF华安,华安中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250924,SZ
159116.SZ,科创债ETF工银,科创债ETF工银,工银瑞信中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250924,SZ
159117.SZ,鹏华港股通低波红利ETF,港股通红利低波ETF鹏华,鹏华标普港股通低波红利交易型开放式指数证券投资基金,SPAHLVCP.OTH,标普港股通低波红利指数,20251017,SZ
159118.SZ,华夏标普港股通低波红利ETF,港股通红利低波ETF华夏,华夏标普港股通低波红利交易型开放式指数证券投资基金,SPAHLVCP.OTH,标普港股通低波红利指数,20251127,SZ
159119.SZ,招商中证800自由现金流ETF,800现金流ETF招商,招商中证800自由现金流交易型开放式指数证券投资基金,932368.CSI,中证800自由现金流指数,20251113,SZ
159120.SZ,国联安港股通科技ETF,港股通科技ETF国联安,国联安恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,20251113,SZ
159121.SZ,易方达恒生港股通汽车主题ETF,港股通汽车ETF易方达,易方达恒生港股通汽车主题交易型开放式指数证券投资基金,HSSCAM.HI,恒生港股通汽车主题指数,20251124,SZ
159122.SZ,富国创业板新能源ETF,创业板新能源ETF富国,富国创业板新能源交易型开放式指数证券投资基金,399266.SZ,创业板新能源指数,20251103,SZ
159123.SZ,嘉实中证光伏产业ETF,光伏ETF嘉实,嘉实中证光伏产业交易型开放式指数证券投资基金,931151.CSI,中证光伏产业指数,20251127,SZ
159125.SZ,招商国证港股通科技ETF,港股通科技ETF招商,招商国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,20251106,SZ
159126.SZ,南方中证港股通50ETF,港股通50ETF南方,南方中证港股通50交易型开放式指数证券投资基金,930931.CSI,中证港股通50指数,20251103,SZ
159127.SZ,南方中证港股通高股息投资ETF,港股通红利ETF南方,南方中证港股通高股息投资交易型开放式指数证券投资基金,930914.CSI,中证港股通高股息投资指数,20251120,SZ
159128.SZ,天弘国证港股通科技ETF,港股科技ETF天弘,天弘国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,20251113,SZ
159129.SZ,嘉实中证细分化工产业主题ETF,化工ETF嘉实,嘉实中证细分化工产业主题交易型开放式指数证券投资基金,000813.CSI,中证细分化工产业主题指数,20251114,SZ
159130.SZ,鹏华恒生生物科技ETF,恒生生物科技ETF鹏华,鹏华恒生生物科技交易型开放式指数证券投资基金,HSBIO.HI,恒生生物科技指数,20251127,SZ
